metric,value
dataset,acm
N,9073
N_target,3025
n_sample,1000
cka_orig_H0,0.2636680952165228
cka_H0_Zf,0.9559861258082942
cka_orig_Zf,0.21944131258267302
laplacian_preservation,0.4548818699319017
degree_sim,1.0
spectral_homo_vs_ref,0.9999978207346407
recon_mse,0.031738121062517166
recon_mae,0.06847462058067322
recon_r2,0.05307967588305473
recon_corr,0.5084541421647483
embed_rank,53
embed_effective_rank,11.377071380615234
embed_participation_ratio,5.486700057983398
embed_mean_norm,2.8452699184417725
embed_std_norm,0.7425570487976074
rel_rec_accuracy,1.0
rel_rec_macro_f1,1.0
downstream_X_orig,0.8965699684908331
downstream_H0,0.9226563451124165
downstream_Z_final,0.9608663264803253
downstream_DPS,1.0717137091907285
eigen_eigenvector_cka,0.9999999999888933
eigen_eigenvector_cosine,0.8462769209689803
compression_hetero_edges,26012
compression_homo_edges,26012
compression_compression_ratio,1.0
mp_spectral_PAP,0.0009644305790381669
mp_spectral_PSP,0.0
mp_knn_PAP,0.05403061450029008
mp_knn_PSP,0.4467809842059735
mp_auc_PAP,0.619040888888889
mp_f1_PAP,0.5904010519395135
mp_auc_PSP,0.5851413333333334
mp_f1_PSP,0.5520902455209025
mp_diversity,0.9676870543510421
mp_cka_PAP,0.04382379901733893
mp_cka_PSP,0.4834999463136701
mp_weight_PAP,0.0652176224792953
mp_weight_PSP,0.059840196056307526
mp_mps_PAP,0.21062013875452082
mp_mps_PSP,0.40811269803182126
avg_mps,0.309366418393171
